team1,team2,city,venue
Royal Challengers Bangalore,Chennai Super Kings,7,7
Sunrisers Hyderabad,Kolkata Knight Riders,4,4
Delhi Capitals,Mumbai Indians,3,3
Kings XI Punjab,Rajasthan Royals,5,5
Delhi Capitals,Chennai Super Kings,2,2
Kolkata Knight Riders,Kings XI Punjab,4,4
Mumbai Indians,Royal Challengers Bangalore,0,0
Rajasthan Royals,Sunrisers Hyderabad,6,6
Mumbai Indians,Kings XI Punjab,31,31
Kolkata Knight Riders,Delhi Capitals,2,2
Sunrisers Hyderabad,Royal Challengers Bangalore,6,6
Chennai Super Kings,Rajasthan Royals,7,7
Kings XI Punjab,Delhi Capitals,31,31
Royal Challengers Bangalore,Rajasthan Royals,5,5
Mumbai Indians,Chennai Super Kings,3,3
Delhi Capitals,Sunrisers Hyderabad,2,2
Royal Challengers Bangalore,Kolkata Knight Riders,0,0
Chennai Super Kings,Kings XI Punjab,7,7
Mumbai Indians,Sunrisers Hyderabad,6,6
Royal Challengers Bangalore,Delhi Capitals,0,0
Rajasthan Royals,Kolkata Knight Riders,5,5
Sunrisers Hyderabad,Kings XI Punjab,31,31
Kolkata Knight Riders,Chennai Super Kings,7,7
Kings XI Punjab,Mumbai Indians,3,3
Rajasthan Royals,Chennai Super Kings,5,5
Kolkata Knight Riders,Delhi Capitals,4,4
Mumbai Indians,Rajasthan Royals,3,3
Kings XI Punjab,Royal Challengers Bangalore,31,31
Kolkata Knight Riders,Chennai Super Kings,4,4
Delhi Capitals,Sunrisers Hyderabad,6,6
Royal Challengers Bangalore,Mumbai Indians,3,3
Kings XI Punjab,Rajasthan Royals,31,31
Chennai Super Kings,Sunrisers Hyderabad,6,6
Mumbai Indians,Delhi Capitals,2,2
Royal Challengers Bangalore,Kolkata Knight Riders,4,4
Mumbai Indians,Rajasthan Royals,5,5
Kings XI Punjab,Delhi Capitals,2,2
Kolkata Knight Riders,Sunrisers Hyderabad,6,6
Royal Challengers Bangalore,Chennai Super Kings,0,0
Rajasthan Royals,Delhi Capitals,5,5
Sunrisers Hyderabad,Chennai Super Kings,7,7
Royal Challengers Bangalore,Kings XI Punjab,0,0
Kolkata Knight Riders,Rajasthan Royals,4,4
Mumbai Indians,Chennai Super Kings,7,7
Sunrisers Hyderabad,Rajasthan Royals,5,5
Delhi Capitals,Royal Challengers Bangalore,2,2
Kolkata Knight Riders,Mumbai Indians,4,4
Sunrisers Hyderabad,Kings XI Punjab,6,6
Chennai Super Kings,Delhi Capitals,7,7
Mumbai Indians,Sunrisers Hyderabad,3,3
Kings XI Punjab,Kolkata Knight Riders,31,31
Rajasthan Royals,Delhi Capitals,2,2
Sunrisers Hyderabad,Royal Challengers Bangalore,0,0
Chennai Super Kings,Kings XI Punjab,31,31
Kolkata Knight Riders,Mumbai Indians,3,3
Chennai Super Kings,Mumbai Indians,7,7
Sunrisers Hyderabad,Delhi Capitals,22,22
Delhi Capitals,Chennai Super Kings,22,22
Mumbai Indians,Chennai Super Kings,6,6
